AC_No,AC_Name,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Share_%,Source_URL,Rank_In_Constituency
22,Sheohar,SANJAY SANGHARSH SINGH,Independent,1488,1,1489,0.71,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0422.htm,7
22,Sheohar,AMRENDRA KUMAR,Bajjikanchal Vikas Party,1464,0,1464,0.7,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0422.htm,8
22,Sheohar,PRAKASH KUMAR,Independent,1363,0,1363,0.65,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0422.htm,9
22,Sheohar,ANISH KUMAR,Independent,1100,0,1100,0.52,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0422.htm,10
22,Sheohar,PURUSHOTTAM KUMAR,GaribJanta Party Loktantrik,1023,1,1024,0.49,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0422.htm,11
22,Sheohar,MAMTA KUMARI,Rashtriya Jansambhavna Party,802,0,802,0.38,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0422.htm,12
23,Riga,BAIDYANATH PRASAD,Bharatiya Janata Party,117252,141,117393,54.11,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0423.htm,1
23,Riga,AMIT KUMAR,Indian National Congress,83975,293,84268,38.84,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0423.htm,2
23,Riga,RAMASHISH RAY,Independent,4039,2,4041,1.86,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0423.htm,3
23,Riga,KRISHNA MOHAN SINGH,Jan Suraaj Party,3055,23,3078,1.42,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0423.htm,4
23,Riga,NOTA,None of the Above,2796,3,2799,1.29,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0423.htm,5
23,Riga,UPENDRA SAHANI,Rashtriya Jansambhavna Party,2255,1,2256,1.04,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0423.htm,6
23,Riga,MOTILAL RAUT,Independent,849,0,849,0.39,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0423.htm,7
23,Riga,DR. PRADEEP KUMAR JAYASWAL,Independent,809,1,810,0.37,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0423.htm,8
23,Riga,RAMNATH MAHTO,Independent,669,0,669,0.31,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0423.htm,9
23,Riga,DHIRAJ KUMAR,Independent,423,0,423,0.19,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0423.htm,10
23,Riga,NAGENDRA KUMAR PASWAN,Peoples Party of India (Democratic),351,5,356,0.16,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0423.htm,11
24,Bathnaha,ANIL KUMAR,Bharatiya Janata Party,123473,225,123698,57.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0424.htm,1
24,Bathnaha,NAVIN KUMAR,Indian National Congress,71619,310,71929,33.42,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0424.htm,2
24,Bathnaha,NAWAL KISHOR CHOUDHARY,Jan Suraaj Party,5245,37,5282,2.45,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0424.htm,3
24,Bathnaha,NOTA,None of the Above,3800,7,3807,1.77,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0424.htm,4
24,Bathnaha,PRAMOD BAITHA,Independent,1972,0,1972,0.92,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0424.htm,5
24,Bathnaha,AMRITA SONI,Rashtriya Lok Janshakti Party,1873,4,1877,0.87,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0424.htm,6
24,Bathnaha,SAHDEO RAM,Bahujan Samaj Party,1750,4,1754,0.81,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0424.htm,7
24,Bathnaha,ARCHANA KUMARI,Independent,1664,9,1673,0.78,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0424.htm,8
24,Bathnaha,BRAJESH PASWAN,Independent,1191,3,1194,0.55,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0424.htm,9
24,Bathnaha,DEEPAK RAJ,Janshakti Vikas Party (Democratic),825,0,825,0.38,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0424.htm,10
24,Bathnaha,MANOJ SADA,Lok Dal,661,1,662,0.31,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0424.htm,11
24,Bathnaha,SUNIL RAM,"Proutist Bloc, India",583,0,583,0.27,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0424.htm,12
25,Parihar,GAYETRI DEVI,Bharatiya Janata Party,82559,85,82644,39.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0425.htm,1
25,Parihar,RITU JAISWAL,Independent,65271,184,65455,31.17,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0425.htm,2
25,Parihar,SMITA GUPTA,Rashtriya Janata Dal,48374,160,48534,23.11,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0425.htm,3
25,Parihar,AWADHESH PRASAD,Jan Suraaj Party,3201,16,3217,1.53,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0425.htm,4
25,Parihar,NOTA,None of the Above,2379,0,2379,1.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0425.htm,5
25,Parihar,AKHILESH NARAYAN THAKUR,Aam Aadmi Party,2010,3,2013,0.96,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0425.htm,6
25,Parihar,RAM VINOD NAYAK,Independent,1964,0,1964,0.94,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0425.htm,7
25,Parihar,MAHENDRA SINGH YADAV,Independent,1614,1,1615,0.77,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0425.htm,8
25,Parihar,CHANDRABHUSHAN KUMAR,Independent,1361,1,1362,0.65,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0425.htm,9
25,Parihar,MOHD MUKSAID ALAM,Independent,794,0,794,0.38,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0425.htm,10
26,Sursand,PROF. NAGENDRA RAUT,Janata Dal (United),103962,195,104157,50.04,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0426.htm,1
26,Sursand,SYED ABU DOJANA,Rashtriya Janata Dal,80245,245,80490,38.67,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0426.htm,2
26,Sursand,USHA KIRAN,Jan Suraaj Party,5951,42,5993,2.88,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0426.htm,3
26,Sursand,RAJEEV NAND,Independent,3625,0,3625,1.74,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0426.htm,4
26,Sursand,NOTA,None of the Above,3131,3,3134,1.51,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0426.htm,5
26,Sursand,PRABHAT KUMAR,Independent,2303,7,2310,1.11,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0426.htm,6
26,Sursand,MANOJ KUMAR,Independent,1938,0,1938,0.93,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0426.htm,7
26,Sursand,KAMESHWAR THAKUR,Independent,1768,1,1769,0.85,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0426.htm,8
26,Sursand,RISHI KUMAR AGRAWAL,Aam Aadmi Party,1534,7,1541,0.74,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0426.htm,9
26,Sursand,ANIL KUMAR,Bahujan Samaj Party,1216,2,1218,0.59,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0426.htm,10
26,Sursand,VINAY KUMAR,Independent,1044,1,1045,0.5,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0426.htm,11
26,Sursand,SATISH KUMAR MISHRA,Vikas Vanchit Insan Party,924,0,924,0.44,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0426.htm,12
27,Bajpatti,RAMESHWAR KUMAR MEHTO,Rashtriya Lok Morcha,99034,110,99144,45.02,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0427.htm,1
27,Bajpatti,MUKESH KUMAR YADAV,Rashtriya Janata Dal,95488,261,95749,43.47,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0427.htm,2
27,Bajpatti,AAJAM KHAN,Jan Suraaj Party,6138,36,6174,2.8,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0427.htm,3
27,Bajpatti,MD. MUNNA MANSURI,Independent,3102,3,3105,1.41,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0427.htm,4
27,Bajpatti,RAKESH KUMAR,The Plurals Party,3079,1,3080,1.4,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0427.htm,5
27,Bajpatti,MOHD. ZEYAUR RAHMAN,Independent,2479,1,2480,1.13,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0427.htm,6
27,Bajpatti,NOTA,None of the Above,2298,5,2303,1.05,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0427.htm,7
27,Bajpatti,DEONANDAN RAM,Bahujan Samaj Party,2180,6,2186,0.99,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0427.htm,8
27,Bajpatti,RANDHIR KUMAR,Aam Aadmi Party,1387,2,1389,0.63,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0427.htm,9
27,Bajpatti,SUSHIL RAJ,Bhartiya Sarthak Party,1282,1,1283,0.58,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0427.htm,10
27,Bajpatti,MOHAMMAD AFTAB,Apna Adhikar Party,918,2,920,0.42,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0427.htm,11
27,Bajpatti,AJEET KUMAR JHA,Independent,835,3,838,0.38,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0427.htm,12
27,Bajpatti,ABDUL HASIB,Peace Party,795,1,796,0.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0427.htm,13
27,Bajpatti,ASHA CHOUDHARY,Independent,793,1,794,0.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0427.htm,14
28,Sitamarhi,SUNIL KUMAR PINTU,Bharatiya Janata Party,103952,274,104226,48.11,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0428.htm,1
28,Sitamarhi,SUNIL KUMAR,Rashtriya Janata Dal,98243,421,98664,45.54,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0428.htm,2
28,Sitamarhi,RAM KISHOR RAY,Independent,2867,0,2867,1.32,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0428.htm,3
28,Sitamarhi,UPENDRA SAHANI,Rashtriya Jansambhavna Party,2417,2,2419,1.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0428.htm,4
28,Sitamarhi,NOTA,None of the Above,2279,5,2284,1.05,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0428.htm,5
28,Sitamarhi,VINOD SAH,Independent,1825,0,1825,0.84,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0428.htm,6
28,Sitamarhi,RAJ NARAYAN SAH,Bahujan Samaj Party,1331,3,1334,0.62,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0428.htm,7
28,Sitamarhi,CHANDESHWAR PRASAD,Independent,993,2,995,0.46,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0428.htm,8
28,Sitamarhi,RAGHVENDRA KUMAR,Independent,592,0,592,0.27,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0428.htm,9
28,Sitamarhi,MAHESH NANDAN SINGH,Independent,454,1,455,0.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0428.htm,10
28,Sitamarhi,KRISHNA KUMAR JHA,"Proutist Bloc, India",337,1,338,0.16,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0428.htm,11
28,Sitamarhi,CHANDRIKA PRASAD,Independent,260,1,261,0.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0428.htm,12
28,Sitamarhi,THAKUR CHANDAN KUMAR  SINGH,Independent,223,1,224,0.1,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0428.htm,13
28,Sitamarhi,POOJA ARYA,Lok Dal,168,1,169,0.08,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0428.htm,14
29,Runnisaidpur,PANKAJ KUMAR,Janata Dal (United),93580,92,93672,48.5,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0429.htm,1
29,Runnisaidpur,CHANDAN KUMAR,Rashtriya Janata Dal,73843,92,73935,38.28,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0429.htm,2
29,Runnisaidpur,VIJAY KUMAR SAH,Jan Suraaj Party,7645,26,7671,3.97,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0429.htm,3
29,Runnisaidpur,NOTA,None of the Above,4312,3,4315,2.23,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0429.htm,4
29,Runnisaidpur,SANJAY KUMAR,Independent,3737,0,3737,1.93,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0429.htm,5
29,Runnisaidpur,IMTIYAZ ALAM NASIR AHMED,Desh Janhit Party,3489,1,3490,1.81,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0429.htm,6
29,Runnisaidpur,JITENDRA RAM,Bahujan Samaj Party,2091,1,2092,1.08,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0429.htm,7
29,Runnisaidpur,SHRAVAN SAHNI,Rashtriya Jansambhavna Party,1713,1,1714,0.89,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0429.htm,8
29,Runnisaidpur,SUJAY KUMAR YADAV,Independent,1287,0,1287,0.67,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0429.htm,9
29,Runnisaidpur,PRAMOD KUMAR,Janshakti Janta Dal,1229,2,1231,0.64,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0429.htm,10
30,Belsand,AMIT KUMAR,Lok Janshakti Party (Ram Vilas),81975,101,82076,44.83,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0430.htm,1
30,Belsand,SANJAY KUMAR GUPTA,Rashtriya Janata Dal,59198,193,59391,32.44,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0430.htm,2
30,Belsand,ARPNA SINGH,Jan Suraaj Party,18969,56,19025,10.39,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0430.htm,3
30,Belsand,RANA RANDHIR SINGH CHOUHAN,Bahujan Samaj Party,7567,33,7600,4.15,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0430.htm,4
30,Belsand,NOTA,None of the Above,6108,2,6110,3.34,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0430.htm,5
30,Belsand,AMBIKA SAH,Rashtriya Jansambhavna Party,2557,2,2559,1.4,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0430.htm,6
30,Belsand,VIKASH KUMAR,Janshakti Janta Dal,2283,1,2284,1.25,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0430.htm,7
30,Belsand,SHAMIM ALAM,Rashtriya Lok Janshakti Party,1703,3,1706,0.93,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0430.htm,8
30,Belsand,SHYAM BABU SINGH,Independent,1441,1,1442,0.79,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0430.htm,9
30,Belsand,RUDAL SAH,Independent,879,0,879,0.48,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0430.htm,10
31,Harlakhi,SUDHANSHU SHEKHAR,Janata Dal (United),85239,247,85486,46.6,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0431.htm,1
31,Harlakhi,RAKESH KUMAR PANDEY,Communist Party of India,49006,244,49250,26.85,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0431.htm,2
31,Harlakhi,MD. SHABBIR,Independent,21963,78,22041,12.02,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0431.htm,3
31,Harlakhi,RATNESHWAR THAKUR,Jan Suraaj Party,7915,67,7982,4.35,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0431.htm,4
31,Harlakhi,NOTA,None of the Above,6970,8,6978,3.8,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0431.htm,5
31,Harlakhi,ANIL JHA,Independent,3239,1,3240,1.77,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0431.htm,6
31,Harlakhi,SANJEET KUMAR BADAL GUPTA,Independent,3155,9,3164,1.72,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0431.htm,7
31,Harlakhi,JITENDER YADAV,Janshakti Janta Dal,1905,2,1907,1.04,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0431.htm,8
31,Harlakhi,VIVEK KUMAR JHA,Rashtrawadi Janlok Party (Satya),1250,2,1252,0.68,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0431.htm,9
31,Harlakhi,SATISH SHARMA,Jagrook Janta Party,1091,0,1091,0.59,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0431.htm,10
31,Harlakhi,SHIVLAL PASWAN,Rashtriya Samaj Paksha,1044,2,1046,0.57,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0431.htm,11
32,Benipatti,VINOD NARAYAN JHA,Bharatiya Janata Party,86932,221,87153,49.74,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0432.htm,1
32,Benipatti,NALINI RANJAN JHA ALIAS RUPAN JHA,Indian National Congress,62934,287,63221,36.08,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0432.htm,2
32,Benipatti,DR. B JHA MRINAL,Independent,10576,67,10643,6.07,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0432.htm,3
32,Benipatti,PARVEZ ALAM,Jan Suraaj Party,4190,30,4220,2.41,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0432.htm,4
32,Benipatti,NOTA,None of the Above,2108,5,2113,1.21,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0432.htm,5
32,Benipatti,PANKAJ KUMAR RAM,Independent,1963,1,1964,1.12,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0432.htm,6
32,Benipatti,SHUBHADA YADAV,Aam Aadmi Party,1533,3,1536,0.88,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0432.htm,7
32,Benipatti,GHATA DEWANGAN,Bahujan Samaj Party,1363,5,1368,0.78,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0432.htm,8
32,Benipatti,LALITA DEVI,Peoples Party of India (Democratic),1273,1,1274,0.73,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0432.htm,9
32,Benipatti,ABADH KISHOR JHA,Janshakti Janta Dal,810,1,811,0.46,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0432.htm,10
32,Benipatti,BECHAN RAM,All India Forward Bloc,480,2,482,0.28,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0432.htm,11
32,Benipatti,ANKIT KUMAR JHA,Aam Janta Pragati Party,434,1,435,0.25,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0432.htm,12
33,Khajauli,ARUN SHANKAR PRASAD,Bharatiya Janata Party,100866,285,101151,49.36,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0433.htm,1
33,Khajauli,BRAJ KISHOR YADAV,Rashtriya Janata Dal,87484,541,88025,42.95,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0433.htm,2
33,Khajauli,RUPAM KUMARI,Jan Suraaj Party,4584,53,4637,2.26,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0433.htm,3
33,Khajauli,NOTA,None of the Above,3517,5,3522,1.72,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0433.htm,4
33,Khajauli,RAKESH KUMAR RAUSHAN,Independent,2651,19,2670,1.3,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0433.htm,5
33,Khajauli,RAM BABU YADAV,Independent,2507,1,2508,1.22,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0433.htm,6
33,Khajauli,MD SABIR,Bahujan Samaj Party,1033,0,1033,0.5,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0433.htm,7
33,Khajauli,RAJDEV DAS,Independent,865,1,866,0.42,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0433.htm,8
33,Khajauli,RATNESHWAR JHA,Aadarsh Mithila Party,528,4,532,0.26,https://results.eci.gov.in/ResultAcGenNov2025/ConstituencywiseS0433.htm,9
